854	654	145	254	854	165	235	324	158	962	3225	235	962	165
625	251	1635	846	325	159	325	850	951	324	846	325	251	962
254	854	165	235	324	158	962	3225	654	254	254	854	254	325
235	3225	235	655	214	625	251	1635	846	325	159	251	324	145
325	1635	325	854	654	145	254	854	165	235	324	254	325	324
962	854	962	854	165	235	324	158	962	3225	754	324	854	325
251	158	251	251	1635	846	325	159	325	850	951	325	165	165
254	159	254	235	369	965	854	654	145	254	854	854	235	324
324	654	324	325	254	854	165	235	324	158	962	165	963	693
325	235	325	962	625	251	1635	846	325	159	325	1635	951	324
854	846	854	251	654	254	254	854	165	235	324	254	962	3225
165	854	165	254	136	524	324	874	846	654	254	254	854	165
1635	159	325	850	951	324	846	325	159	325	850	854	165	235
254	546	654	325	165	235	324	158	962	3225	654	987	962	165
625	251	235	854	325	159	325	850	951	324	846	354	251	962
254	854	846	165	324	158	962	3225	324	354	962	132	254	325
654	254	254	854	165	235	625	251	1635	846	251	159	324	145
365	854	325	159	325	850	951	324	846	354	254	369	325	324
854	846	165	324	158	962	3225	159	325	850	324	324	854	325
578	254	854	165	235	324	158	962	3225	854	325	159	165	165
654	325	159	325	850	951	324	846	854	325	854	325	850	951
854	325	159	325	850	951	324	846	235	324	165	962	3225	695
455	284	854	846	165	324	158	962	3225	325	159	324	850	951
254	854	165	235	324	158	962	3225	879	125	251	165	365	352
324	365	625	251	1635	846	325	159	325	850	324	325	846	635
654	365	896	258	369	254	854	165	235	324	159	158	3225	236
159	325	850	951	324	846	325	159	325	850	962	235	136	367
1635	846	325	159	325	850	951	324	846	963	846	850	698	952
159	325	850	951	324	846	354	254	369	325	846	965	325	359
854	325	159	325	850	951	324	846	325	159	325	354	951	324
